lji[ 132]:= b0c1, b449, c43e, c43e, c43e, 0000
lji[ 133]:= 4029, 3c00, c43e, c43e, c43e, 0000
lji[ 134]:= c7ba, c7f8, c43e, c43e, c43e, 0000
lji[ 135]:= 463e, 463e, c43e, c43e, c43e, 0000
lji[ 136]:= 4a8a, 4a66, c43e, c43e, c43e, 0000
lji[ 137]:= 4992, 49c0, c43e, c43e, c43e, 0000
lji[ 138]:= c5f1, c5f1, c43e, c43e, c43e, 0000
lji[ 139]:= 4403, 4411, c43e, c43e, c43e, 0000
lji[ 140]:= c10d, c10d, c43e, c43e, c43e, 0000
lji[ 141]:= b0c1, bdbd, c43e, c43e, c43e, 0000
lji[ 142]:= 40c1, 3fb4, c43e, c43e, c43e, 0000
lji[ 143]:= 4a2b, 4a42, c43e, c43e, c43e, 0000
lji[ 144]:= bcc1, bc19, c43e, c43e, c43e, 0000
lji[ 145]:= c946, c946, c43e, c43e, c43e, 0000
lji[ 146]:= 48c1, 489f, c43e, c43e, c43e, 0000
lji[ 147]:= 457f, 457e, c43e, c43e, c43e, 0000
lji[ 148]:= c559, c558, c43e, c43e, c43e, 0000
lji[ 149]:= c1a5, be5c, c43e, c43e, c43e, 0000
lji[ 150]:= 39f1, 3ca0, c43e, c43e, c43e, 0000
lji[ 151]:= 41f1, 41e0, c43e, c43e, c43e, 0000
lji[ 152]:= c429, c421, c43e, c43e, c43e, 0000
lji[ 153]:= c23e, c1c6, c43e, c43e, c43e, 0000
lji[ 154]:= 457f, 455a, c43e, c43e, c43e, 0000
lji[ 155]:= 46b0, 46b0, c43e, c43e, c43e, 0000
lji[ 156]:= 4be0, 4be2, c43e, c43e, c43e, 0000
lji[ 157]:= c76e, c778, c43e, c43e, c43e, 0000
lji[ 158]:= 4029, 4009, c43e, c43e, c43e, 0000
lji[ 159]:= 46fc, 46bc, c43e, c43e, c43e, 0000
lji[ 160]:= 4b48, 4b51, c43e, c43e, c43e, 0000
lji[ 161]:= 3e8a, 3e55, c43e, c43e, c43e, 0000
lji[ 162]:= 4ab0, 4ab0, c43e, c43e, c43e, 0000
lji[ 163]:= c429, c44d, c43e, c43e, c43e, 0000
lji[ 164]:= 496c, 4973, c43e, c43e, c43e, 0000
lji[ 165]:= 4875, 4888, c43e, c43e, c43e, 0000
lji[ 166]:= 436e, 4329, c43e, c43e, c43e, 0000
lji[ 167]:= 4888, 4890, c43e, c43e, c43e, 0000
lji[ 168]:= 4a8a, 4aa4, c43e, c43e, c43e, 0000
lji[ 169]:= c23e, bccc, c43e, c43e, c43e, 0000
lji[ 170]:= 483c, 48eb, c43e, c43e, c43e, 0000
lji[ 171]:= 4862, 4850, c43e, c43e, c43e, 0000
lji[ 172]:= c4c1, c523, c43e, c43e, c43e, 0000
lji[ 173]:= c888, c805, c43e, c43e, c43e, 0000
lji[ 174]:= c6d6, c512, c43e, c43e, c43e, 0000
lji[ 175]:= 40c1, 3b2e, c43e, c43e, c43e, 0000
lji[ 176]:= 4029, 4051, c43e, c43e, c43e, 0000
lji[ 177]:= bf22, bfae, c43e, c43e, c43e, 0000
lji[ 178]:= c3ba, c27a, c43e, c43e, c43e, 0000
lji[ 179]:= 449b, 44ab, c43e, c43e, c43e, 0000
lji[ 180]:= c7ba, c7a5, c43e, c43e, c43e, 0000
lji[ 181]:= 457f, 459d, c43e, c43e, c43e, 0000
lji[ 182]:= 4992, 49a8, c43e, c43e, c43e, 0000
lji[ 183]:= c84f, c735, c43e, c43e, c43e, 0000
lji[ 184]:= 46d6, 47c4, c43e, c43e, c43e, 0000
lji[ 185]:= c10d, c2c3, c43e, c43e, c43e, 0000
lji[ 186]:= c28a, c492, c43e, c43e, c43e, 0000
lji[ 187]:= 4816, 4825, c43e, c43e, c43e, 0000
lji[ 188]:= 4920, 49be, c43e, c43e, c43e, 0000
lji[ 189]:= 457f, 45c1, c43e, c43e, c43e, 0000
lji[ 190]:= 45a5, 461a, c43e, c43e, c43e, 0000
lji[ 191]:= 4664, 4509, c43e, c43e, c43e, 0000
lji[ 192]:= bc29, b4e4, c43e, c43e, c43e, 0000
lji[ 193]:= bc29, bcf5, c43e, c43e, c43e, 0000
lji[ 194]:= c36e, c3b8, c43e, c43e, c43e, 0000
lji[ 195]:= 46fc, 46fc, c43e, c43e, c43e, 0000
lji[ 196]:= 4c29, 4c3b, c43e, c43e, c43e, 0000
lji[ 197]:= 4475, 446d, c43e, c43e, c43e, 0000
lji[ 198]:= c9a5, ca98, c43e, c43e, c43e, 0000
lji[ 199]:= bcc1, bd54, c43e, c43e, c43e, 0000
