lji[ 134]:= c7ba, c7ba, 4c37, 4c2b, 4c40, 4d21
lji[ 135]:= 463e, 463e, 4c37, 4c2b, 4c40, 4d21
lji[ 136]:= 4a8a, 4a8a, 4c37, 4c2b, 4c40, 4d21
lji[ 137]:= 4992, 4992, 4c37, 4c2b, 4c40, 4d21
lji[ 138]:= c5f1, c5f1, 4c37, 4c2b, 4c40, 4d21
lji[ 139]:= 4403, 4403, 4c37, 4c2b, 4c40, 4d21
lji[ 140]:= c10d, c10d, 4c37, 4c2b, 4c40, 4d21
lji[ 141]:= b0c1, b0c1, 4c37, 4c2b, 4c40, 4d21
lji[ 142]:= 40c1, 40c1, 4c37, 4c2b, 4c40, 4d21
lji[ 143]:= 4a2b, 4a2b, 4c37, 4c2b, 4c40, 4d21
lji[ 144]:= bcc1, bcc1, 4c37, 4c2b, 4c40, 4d21
lji[ 145]:= c946, c946, 4c37, 4c2b, 4c40, 4d21
lji[ 146]:= 48c1, 48c1, 4c37, 4c2b, 4c40, 4d21
lji[ 147]:= 457f, 457f, 4c37, 4c2b, 4c40, 4d21
lji[ 148]:= c559, c559, 4c37, 4c2b, 4c40, 4d21
lji[ 149]:= c1a5, c1a5, 4c37, 4c2b, 4c40, 4d21
lji[ 150]:= 39f1, 39f1, 4c37, 4c2b, 4c40, 4d21
lji[ 151]:= 41f1, 41f1, 4c37, 4c2b, 4c40, 4d21
lji[ 152]:= c429, c429, 4c37, 4c2b, 4c40, 4d21
lji[ 153]:= c23e, c23e, 4c37, 4c2b, 4c40, 4d21
lji[ 154]:= 457f, 457f, 4c37, 4c2b, 4c40, 4d21
lji[ 155]:= 46b0, 46b0, 4c37, 4c2b, 4c40, 4d21
lji[ 156]:= 4be0, 4be0, 4c37, 4c2b, 4c40, 4d21
lji[ 157]:= c76e, c76e, 4c37, 4c2b, 4c40, 4d21
lji[ 158]:= 4029, 4029, 4c37, 4c2b, 4c40, 4d21
lji[ 159]:= 46fc, 46fc, 4c37, 4c2b, 4c40, 4d21
lji[ 160]:= 4b48, 4b48, 4c37, 4c2b, 4c40, 4d21
lji[ 161]:= 3e8a, 3e8a, 4c37, 4c2b, 4c40, 4d21
lji[ 162]:= 4ab0, 4ab0, 4c37, 4c2b, 4c40, 4d21
lji[ 163]:= c429, c429, 4c37, 4c2b, 4c40, 4d21
lji[ 164]:= 496c, 496c, 4c37, 4c2b, 4c40, 4d21
lji[ 165]:= 4875, 4875, 4c37, 4c2b, 4c40, 4d21
lji[ 166]:= 436e, 436e, 4c37, 4c2b, 4c40, 4d21
lji[ 167]:= 4888, 4888, 4c37, 4c2b, 4c40, 4d21
lji[ 168]:= 4a8a, 4a8a, 4c37, 4c2b, 4c40, 4d21
lji[ 169]:= c23e, c23e, 4c37, 4c2b, 4c40, 4d21
lji[ 170]:= 483c, 483c, 4c37, 4c2b, 4c40, 4d21
lji[ 171]:= 4862, 4862, 4c37, 4c2b, 4c40, 4d21
lji[ 172]:= c4c1, c4c1, 4c37, 4c2b, 4c40, 4d21
lji[ 173]:= c888, c888, 4c37, 4c2b, 4c40, 4d21
lji[ 174]:= c6d6, c6d6, 4c37, 4c2b, 4c40, 4d21
lji[ 175]:= 40c1, 40c1, 4c37, 4c2b, 4c40, 4d21
lji[ 176]:= 4029, 4029, 4c37, 4c2b, 4c40, 4d21
lji[ 177]:= bf22, bf22, 4c37, 4c2b, 4c40, 4d21
lji[ 178]:= c3ba, c3ba, 4c37, 4c2b, 4c40, 4d21
lji[ 179]:= 449b, 449b, 4c37, 4c2b, 4c40, 4d21
lji[ 180]:= c7ba, c7ba, 4c37, 4c2b, 4c40, 4d21
lji[ 181]:= 457f, 457f, 4c37, 4c2b, 4c40, 4d21
lji[ 182]:= 4992, 4992, 4c37, 4c2b, 4c40, 4d21
lji[ 183]:= c84f, c84f, 4c37, 4c2b, 4c40, 4d21
lji[ 184]:= 46d6, 46d6, 4c37, 4c2b, 4c40, 4d21
lji[ 185]:= c10d, c10d, 4c37, 4c2b, 4c40, 4d21
lji[ 186]:= c28a, c28a, 4c37, 4c2b, 4c40, 4d21
lji[ 187]:= 4816, 4816, 4c37, 4c2b, 4c40, 4d21
lji[ 188]:= 4920, 4920, 4c37, 4c2b, 4c40, 4d21
lji[ 189]:= 457f, 457f, 4c37, 4c2b, 4c40, 4d21
lji[ 190]:= 45a5, 45a5, 4c37, 4c2b, 4c40, 4d21
lji[ 191]:= 4664, 4664, 4c37, 4c2b, 4c40, 4d21
lji[ 192]:= bc29, bc29, 4c37, 4c2b, 4c40, 4d21
lji[ 193]:= bc29, bc29, 4c37, 4c2b, 4c40, 4d21
lji[ 194]:= c36e, c36e, 4c37, 4c2b, 4c40, 4d21
lji[ 195]:= 46fc, 46fc, 4c37, 4c2b, 4c40, 4d21
lji[ 196]:= 4c29, 4c29, 4c37, 4c2b, 4c40, 4d21
lji[ 197]:= 4475, 4475, 4c37, 4c2b, 4c40, 4d21
lji[ 198]:= c9a5, c9a5, 4c37, 4c2b, 4c40, 4d21
lji[ 199]:= bcc1, bcc1, 4c37, 4c2b, 4c40, 4d21
lji[ 200]:= 4bcd, 4bcd, 4c37, 4c2b, 4c40, 4d21
lji[ 201]:= 3b22, 3b22, 4c37, 4c2b, 4c40, 4d21
lji[ 202]:= c8c1, c8c1, 4c37, 4c2b, 4c40, 4d21
lji[ 203]:= 4888, 4888, 4c37, 4c2b, 4c40, 4d21
lji[ 204]:= 3b22, 3b22, 4c37, 4c2b, 4c40, 4d21
lji[ 205]:= c888, c888, 4c37, 4c2b, 4c40, 4d21
lji[ 206]:= 4159, 4159, 4c37, 4c2b, 4c40, 4d21
