lij[ 247]:= be02, bd6e, 3fa5, 4141, c141, c3f7
lij[ 248]:= 3513, 34f2, 4386, 4141, c141, c3f7
lij[ 249]:= c6b5, c6b5, 47a0, 4141, c141, c3f7
lij[ 250]:= 3467, 3efd, 3265, 4141, c141, c3f7
lij[ 251]:= bb84, bb84, 47a0, 4141, c141, c3f7
lij[ 252]:= 2000, b6b9, a920, 4141, c141, c3f7
lij[ 253]:= c1de, 3b5a, bc29, 4141, c141, c3f7
lij[ 254]:= b554, b5bb, 426b, 4141, c141, c3f7
lij[ 255]:= c137, c199, 4429, 4141, c141, c3f7
lij[ 256]:= ae51, 322d, bc22, 4141, c141, c3f7
lij[ 257]:= 42c2, bbb3, bc26, 4141, c141, c3f7
lij[ 258]:= 438c, c63d, c3af, 4141, c141, c3f7
lij[ 259]:= 416f, 416f, 47a0, 4141, c141, c3f7
lij[ 260]:= b0c2, c0b4, 3092, 4141, c141, c3f7
lij[ 261]:= c0ff, 4386, c0b3, 4141, c141, c3f7
lij[ 262]:= 3d1d, 47a0, 3d1d, 4141, c141, c3f7
lij[ 263]:= c36b, 436b, c7a0, 4141, c141, c3f7
lij[ 264]:= 405b, 47a0, 405b, 4141, c141, c3f7
lij[ 265]:= c2a0, c6ee, 4299, 4141, c141, c3f7
lij[ 266]:= 4305, 3e04, 3e8e, 4141, c141, c3f7
lij[ 267]:= 452d, 47a0, 452d, 4141, c141, c3f7
lij[ 268]:= 434c, 46b5, 433d, 4141, c141, c3f7
lij[ 269]:= c063, 4212, c160, 4141, c141, c3f7
lij[ 270]:= 3807, ab40, af22, 4141, c141, c3f7
lij[ 271]:= c61e, c518, 456c, 4141, c141, c3f7
lij[ 272]:= 3c29, 46b5, 3c26, 4141, c141, c3f7
lij[ 273]:= 42e7, 42be, 452d, 4141, c141, c3f7
lij[ 274]:= 3fe0, c42d, c028, 4141, c141, c3f7
lij[ 275]:= c686, c686, 47a0, 4141, c141, c3f7
lij[ 276]:= c01c, 4019, c61e, 4141, c141, c3f7
lij[ 277]:= c054, 40c7, c35b, 4141, c141, c3f7
lij[ 278]:= 4451, c4a5, c46a, 4141, c141, c3f7
lij[ 279]:= be65, 4402, be13, 4141, c141, c3f7
lij[ 280]:= 3330, 3517, 3dd4, 4141, c141, c3f7
lij[ 281]:= 4539, c539, c7a0, 4141, c141, c3f7
lij[ 282]:= c1f6, 4551, c217, 4141, c141, c3f7
lij[ 283]:= 34c9, 3371, 4020, 4141, c141, c3f7
lij[ 284]:= 38cb, 370d, 3fab, 4141, c141, c3f7
lij[ 285]:= bdd5, 3dd5, c6ee, 4141, c141, c3f7
lij[ 286]:= 407e, c16b, c241, 4141, c141, c3f7
lij[ 287]:= 4480, c7a0, c480, 4141, c141, c3f7
lij[ 288]:= 407b, 427c, 400b, 4141, c141, c3f7
lij[ 289]:= 409f, 40d5, 43b5, 4141, c141, c3f7
lij[ 290]:= bc65, bd38, 4120, 4141, c141, c3f7
lij[ 291]:= bd98, 47a0, bd98, 4141, c141, c3f7
lij[ 292]:= 41f3, 412c, 4360, 4141, c141, c3f7
lij[ 293]:= b173, b0c2, 3cac, 4141, c141, c3f7
lij[ 294]:= c738, c498, 4492, 4141, c141, c3f7
lij[ 295]:= bdc0, bbff, 3fbf, 4141, c141, c3f7
lij[ 296]:= c7a0, 47a0, c7a0, 4141, c141, c3f7
lij[ 297]:= 41f0, c3dc, c2de, 4141, c141, c3f7
lij[ 298]:= c139, c300, 419b, 4141, c141, c3f7
lij[ 299]:= 428a, 428a, 47a0, 4141, c141, c3f7
lij[ 300]:= c6ee, ba13, 3a13, 4141, c141, c3f7
lij[ 301]:= 3d65, c0f1, beb5, 4141, c141, c3f7
lij[ 302]:= 2e31, 3c6d, 3163, 4141, c141, c3f7
lij[ 303]:= bd79, c4c1, 3d98, 4141, c141, c3f7
lij[ 304]:= 3719, bed0, b8b6, 4141, c141, c3f7
lij[ 305]:= c6b5, 47a0, c6b5, 4141, c141, c3f7
lij[ 306]:= c4ba, c7a0, 44ba, 4141, c141, c3f7
lij[ 307]:= a5c0, 3477, b11b, 4141, c141, c3f7
lij[ 308]:= c00e, c551, 401c, 4141, c141, c3f7
lij[ 309]:= 43c8, b872, b8a4, 4141, c141, c3f7
lij[ 310]:= 44d8, 459b, 455e, 4141, c141, c3f7
lij[ 311]:= c545, c7a0, 4545, 4141, c141, c3f7
lij[ 312]:= c7a0, c6ee, 46ee, 4141, c141, c3f7
lij[ 313]:= c447, 3f27, beef, 4141, c141, c3f7
lij[ 314]:= bc16, bc14, 4425, 4141, c141, c3f7
lij[ 315]:= c01e, c02a, 41e3, 4141, c141, c3f7
lij[ 316]:= 3dc0, bdc0, c7a0, 4141, c141, c3f7
lij[ 317]:= bad3, c197, 3bd6, 4141, c141, c3f7
lij[ 318]:= c16f, c0a0, 42ca, 4141, c141, c3f7
lij[ 319]:= c59b, c6b5, 45d4, 4141, c141, c3f7
lij[ 320]:= bbdb, aec2, 2d61, 4141, c141, c3f7
lij[ 321]:= bf09, ba7e, 3c8f, 4141, c141, c3f7
lij[ 322]:= c4e9, c4fb, 4686, 4141, c141, c3f7
lij[ 323]:= 3bcc, 423b, 3b69, 4141, c141, c3f7
lij[ 324]:= c3a9, 43a9, c7a0, 4141, c141, c3f7
lij[ 325]:= 4356, bdff, bd98, 4141, c141, c3f7
lij[ 326]:= bf57, 3fe9, c39d, 4141, c141, c3f7
lij[ 327]:= 35c0, 35c0, 47a0, 4141, c141, c3f7
lij[ 328]:= 3ab6, bab6, c6ee, 4141, c141, c3f7
lij[ 329]:= 4143, c134, c5ad, 4141, c141, c3f7
lij[ 330]:= 4518, c50e, c61e, 4141, c141, c3f7
lij[ 331]:= c4ba, 3ae6, bb07, 4141, c141, c3f7
lij[ 332]:= c5eb, 461e, c58b, 4141, c141, c3f7
lij[ 333]:= 3918, c406, b945, 4141, c141, c3f7
lij[ 334]:= 3265, c738, b265, 4141, c141, c3f7
lij[ 335]:= 3838, b4b9, b72e, 4141, c141, c3f7
lij[ 336]:= bffc, c738, 3ffe, 4141, c141, c3f7
lij[ 337]:= 3638, 37ad, 408e, 4141, c141, c3f7
lij[ 338]:= 3d05, 3f1b, 4030, 4141, c141, c3f7
lij[ 339]:= 449e, 437b, 4415, 4141, c141, c3f7
lij[ 340]:= 408e, c021, c360, 4141, c141, c3f7
lij[ 341]:= 450e, c50e, c7a0, 4141, c141, c3f7
lij[ 342]:= 2fa2, c504, afa2, 4141, c141, c3f7
lij[ 343]:= c6b5, c545, 456c, 4141, c141, c3f7
lij[ 344]:= 40cb, c603, c0d6, 4141, c141, c3f7
lij[ 345]:= 4244, c180, c3bc, 4141, c141, c3f7
lij[ 346]:= c738, 4738, c7a0, 4141, c141, c3f7
lij[ 347]:= 3ffc, 40b6, 3df0, 4141, c141, c3f7
lij[ 348]:= c037, 4034, c4ba, 4141, c141, c3f7
lij[ 349]:= c342, 4342, c7a0, 4141, c141, c3f7
lij[ 350]:= bad5, b801, 3bff, 4141, c141, c3f7
lij[ 351]:= 47a0, c504, c504, 4141, c141, c3f7
lij[ 352]:= c6b5, 4738, c6ee, 4141, c141, c3f7
lij[ 353]:= 3ea1, 40da, 3d65, 4141, c141, c3f7
lij[ 354]:= a7c0, 2920, bfc6, 4141, c141, c3f7
lij[ 355]:= bc33, 3c79, c342, 4141, c141, c3f7
lij[ 356]:= c4f2, c4f2, 47a0, 4141, c141, c3f7
lij[ 357]:= c1fe, 4185, c447, 4141, c141, c3f7
lij[ 358]:= 3827, 377a, 41e8, 4141, c141, c3f7
