lji[ 179]:= 449e, 46d8, c76e, c5d9, c826, c25c
lji[ 180]:= ca0d, c888, c76e, c5d9, c826, c25c
lji[ 181]:= 49a0, 4677, c76e, c5d9, c826, c25c
lji[ 182]:= 4ad6, 494a, c76e, c5d9, c826, c25c
lji[ 183]:= c9a0, c8d8, c76e, c5d9, c826, c25c
lji[ 184]:= 47a9, 4614, c76e, c5d9, c826, c25c
lji[ 185]:= be73, ba88, c76e, c5d9, c826, c25c
lji[ 186]:= c61e, c249, c76e, c5d9, c826, c25c
lji[ 187]:= 4540, 4913, c76e, c5d9, c826, c25c
lji[ 188]:= 4909, 48cd, c76e, c5d9, c826, c25c
lji[ 189]:= 41c3, 4692, c76e, c5d9, c826, c25c
lji[ 190]:= 4889, 459b, c76e, c5d9, c826, c25c
lji[ 191]:= 4571, 4a8c, c76e, c5d9, c826, c25c
lji[ 192]:= c175, b4da, c76e, c5d9, c826, c25c
lji[ 193]:= c02c, bb3a, c76e, c5d9, c826, c25c
lji[ 194]:= c0a8, c2e5, c76e, c5d9, c826, c25c
lji[ 195]:= 4504, 47ab, c76e, c5d9, c826, c25c
lji[ 196]:= 4d15, 4c4e, c76e, c5d9, c826, c25c
lji[ 197]:= 4548, 3d4c, c76e, c5d9, c826, c25c
lji[ 198]:= c9c3, ca5f, c76e, c5d9, c826, c25c
lji[ 199]:= bee0, bfc7, c76e, c5d9, c826, c25c
lji[ 200]:= 4cb9, 4941, c76e, c5d9, c826, c25c
lji[ 201]:= 3aac, 3e30, c76e, c5d9, c826, c25c
lji[ 202]:= ca98, cb8e, c76e, c5d9, c826, c25c
lji[ 203]:= 4a6f, 4464, c76e, c5d9, c826, c25c
lji[ 204]:= 4326, 3eba, c76e, c5d9, c826, c25c
lji[ 205]:= c966, ca67, c76e, c5d9, c826, c25c
lji[ 206]:= 39fc, 3d40, c76e, c5d9, c826, c25c
lji[ 207]:= c12c, be16, c76e, c5d9, c826, c25c
lji[ 208]:= be1b, 3800, c76e, c5d9, c826, c25c
lji[ 209]:= cb41, caf2, c76e, c5d9, c826, c25c
lji[ 210]:= cd13, cd18, c76e, c5d9, c826, c25c
lji[ 211]:= 49c4, 4a60, c76e, c5d9, c826, c25c
lji[ 212]:= 49ca, 4890, c76e, c5d9, c826, c25c
lji[ 213]:= c799, c9a4, c76e, c5d9, c826, c25c
lji[ 214]:= 4815, 46ce, c76e, c5d9, c826, c25c
lji[ 215]:= 3dc8, 3d66, c76e, c5d9, c826, c25c
lji[ 216]:= 45e7, 467e, c76e, c5d9, c826, c25c
lji[ 217]:= c814, c400, c76e, c5d9, c826, c25c
lji[ 218]:= cbc5, ca7e, c76e, c5d9, c826, c25c
lji[ 219]:= 49bc, 49d9, c76e, c5d9, c826, c25c
lji[ 220]:= 4960, 4a2c, c76e, c5d9, c826, c25c
lji[ 221]:= c9c1, c857, c76e, c5d9, c826, c25c
lji[ 222]:= 4a2c, 4b0f, c76e, c5d9, c826, c25c
lji[ 223]:= ccfc, cb4e, c76e, c5d9, c826, c25c
lji[ 224]:= 451a, 3852, c76e, c5d9, c826, c25c
lji[ 225]:= 44c8, 42a2, c76e, c5d9, c826, c25c
lji[ 226]:= c9b3, c8ce, c76e, c5d9, c826, c25c
lji[ 227]:= c020, 433a, c76e, c5d9, c826, c25c
lji[ 228]:= 4764, 3e2d, c76e, c5d9, c826, c25c
lji[ 229]:= 48c6, 44b4, c76e, c5d9, c826, c25c
lji[ 230]:= c868, c6b5, c76e, c5d9, c826, c25c
lji[ 231]:= ca8f, c931, c76e, c5d9, c826, c25c
lji[ 232]:= 46f0, 4879, c76e, c5d9, c826, c25c
lji[ 233]:= 41ee, 445f, c76e, c5d9, c826, c25c
lji[ 234]:= c144, c02a, c76e, c5d9, c826, c25c
lji[ 235]:= 4220, 4404, c76e, c5d9, c826, c25c
lji[ 236]:= 4afa, 4aee, c76e, c5d9, c826, c25c
lji[ 237]:= 49fc, 4882, c76e, c5d9, c826, c25c
lji[ 238]:= 4bb4, 4c85, c76e, c5d9, c826, c25c
lji[ 239]:= 49e8, 499e, c76e, c5d9, c826, c25c
lji[ 240]:= 3824, 3c8c, c76e, c5d9, c826, c25c
lji[ 241]:= cb06, ca30, c76e, c5d9, c826, c25c
lji[ 242]:= c5d6, bd59, c76e, c5d9, c826, c25c
lji[ 243]:= 48b1, 470d, c76e, c5d9, c826, c25c
lji[ 244]:= c693, c5c9, c76e, c5d9, c826, c25c
lji[ 245]:= 4940, 4697, c76e, c5d9, c826, c25c
lji[ 246]:= 4778, 490a, c76e, c5d9, c826, c25c
lji[ 247]:= 4391, 4636, c76e, c5d9, c826, c25c
lji[ 248]:= 4396, b728, c76e, c5d9, c826, c25c
lji[ 249]:= cb25, c8af, c76e, c5d9, c826, c25c
lji[ 250]:= 4006, 32da, c76e, c5d9, c826, c25c
lji[ 251]:= 3240, c597, c76e, c5d9, c826, c25c
lji[ 252]:= bf76, bf5a, c76e, c5d9, c826, c25c
lji[ 253]:= 49b8, 499a, c76e, c5d9, c826, c25c
lji[ 254]:= 489a, 48ca, c76e, c5d9, c826, c25c
lji[ 255]:= c7b5, c51e, c76e, c5d9, c826, c25c
lji[ 256]:= 46ae, 4902, c76e, c5d9, c826, c25c
lji[ 257]:= c80f, c72c, c76e, c5d9, c826, c25c
lji[ 258]:= c98b, c82c, c76e, c5d9, c826, c25c
lji[ 259]:= c717, ca74, c76e, c5d9, c826, c25c
lji[ 260]:= 487a, 496f, c76e, c5d9, c826, c25c
lji[ 261]:= c70e, c49a, c76e, c5d9, c826, c25c
lji[ 262]:= cac2, c8a3, c76e, c5d9, c826, c25c
lji[ 263]:= 41b8, 415b, c76e, c5d9, c826, c25c
lji[ 264]:= 49ca, 42e3, c76e, c5d9, c826, c25c
lji[ 265]:= cc5a, c98d, c76e, c5d9, c826, c25c
lji[ 266]:= cbfe, ccaa, c76e, c5d9, c826, c25c
lji[ 267]:= 4893, 455e, c76e, c5d9, c826, c25c
lji[ 268]:= 49f2, 4a7c, c76e, c5d9, c826, c25c
lji[ 269]:= b658, aba0, c76e, c5d9, c826, c25c
lji[ 270]:= 48d6, 48cc, c76e, c5d9, c826, c25c
lji[ 271]:= c8bc, c7b0, c76e, c5d9, c826, c25c
lji[ 272]:= 4a92, 45b4, c76e, c5d9, c826, c25c
lji[ 273]:= 35d0, 42cd, c76e, c5d9, c826, c25c
lji[ 274]:= c6c6, c2f7, c76e, c5d9, c826, c25c
lji[ 275]:= 4c4f, 4987, c76e, c5d9, c826, c25c
lji[ 276]:= 4ab7, 4bbd, c76e, c5d9, c826, c25c
lji[ 277]:= 4547, 481d, c76e, c5d9, c826, c25c
lji[ 278]:= 47b1, 4422, c76e, c5d9, c826, c25c
lji[ 279]:= 4450, 4067, c76e, c5d9, c826, c25c
lji[ 280]:= 48c9, 48cf, c76e, c5d9, c826, c25c
lji[ 281]:= c0cd, c1b3, c76e, c5d9, c826, c25c
lji[ 282]:= 3612, b41e, c76e, c5d9, c826, c25c
lji[ 283]:= 4904, 4bbb, c76e, c5d9, c826, c25c
lji[ 284]:= 4074, 4172, c76e, c5d9, c826, c25c
lji[ 285]:= 465d, 4558, c76e, c5d9, c826, c25c
lji[ 286]:= c348, bd96, c76e, c5d9, c826, c25c
lji[ 287]:= 4a53, 4644, c76e, c5d9, c826, c25c
lji[ 288]:= 4508, 442c, c76e, c5d9, c826, c25c
lji[ 289]:= c85a, c804, c76e, c5d9, c826, c25c
lji[ 290]:= c794, c464, c76e, c5d9, c826, c25c
lji[ 291]:= 4a00, 4a68, c76e, c5d9, c826, c25c
lji[ 292]:= 4a86, 4c09, c76e, c5d9, c826, c25c
lji[ 293]:= ad70, bf22, c76e, c5d9, c826, c25c
lji[ 294]:= 4aaa, 4656, c76e, c5d9, c826, c25c
lji[ 295]:= c425, c1cf, c76e, c5d9, c826, c25c
lji[ 296]:= 460b, 4818, c76e, c5d9, c826, c25c
lji[ 297]:= c9ee, c9e8, c76e, c5d9, c826, c25c
lji[ 298]:= c7a3, c6fd, c76e, c5d9, c826, c25c
lji[ 299]:= 484f, 482e, c76e, c5d9, c826, c25c
lji[ 300]:= 49b2, 46b4, c76e, c5d9, c826, c25c
lji[ 301]:= 4518, 491c, c76e, c5d9, c826, c25c
lji[ 302]:= 401b, c197, c76e, c5d9, c826, c25c
lji[ 303]:= c40f, c91b, c76e, c5d9, c826, c25c
lji[ 304]:= 46f2, 4734, c76e, c5d9, c826, c25c
lji[ 305]:= c850, c8b4, c76e, c5d9, c826, c25c
lji[ 306]:= c498, 3adc, c76e, c5d9, c826, c25c
lji[ 307]:= 3d50, 44b9, c76e, c5d9, c826, c25c
lji[ 308]:= c456, c4b9, c76e, c5d9, c826, c25c
lji[ 309]:= c8f6, c873, c76e, c5d9, c826, c25c
lji[ 310]:= c89c, c8a0, c76e, c5d9, c826, c25c
lji[ 311]:= ca8a, c8f6, c76e, c5d9, c826, c25c
lji[ 312]:= 4a18, 48bd, c76e, c5d9, c826, c25c
lji[ 313]:= cb1e, c9c9, c76e, c5d9, c826, c25c
lji[ 314]:= c1b5, be5d, c76e, c5d9, c826, c25c
lji[ 315]:= 4c26, 4cde, c76e, c5d9, c826, c25c
lji[ 316]:= bf9b, c08e, c76e, c5d9, c826, c25c
lji[ 317]:= 3090, c16c, c76e, c5d9, c826, c25c
lji[ 318]:= 45d8, 425e, c76e, c5d9, c826, c25c
lji[ 319]:= c9b2, c807, c76e, c5d9, c826, c25c
lji[ 320]:= 31c0, 44bc, c76e, c5d9, c826, c25c
lji[ 321]:= c0a3, c165, c76e, c5d9, c826, c25c
lji[ 322]:= 3fb0, bd08, c76e, c5d9, c826, c25c
lji[ 323]:= 4887, 4807, c76e, c5d9, c826, c25c
lji[ 324]:= 46b6, 45f6, c76e, c5d9, c826, c25c
lji[ 325]:= cbab, c8dc, c76e, c5d9, c826, c25c
lji[ 326]:= 4965, 49aa, c76e, c5d9, c826, c25c
lji[ 327]:= c5c6, c68c, c76e, c5d9, c826, c25c
lji[ 328]:= 4926, 49c1, c76e, c5d9, c826, c25c
lji[ 329]:= bd49, ab84, c76e, c5d9, c826, c25c
lji[ 330]:= ca52, c8e0, c76e, c5d9, c826, c25c
lji[ 331]:= c47b, c2cb, c76e, c5d9, c826, c25c
lji[ 332]:= 45f2, 46b7, c76e, c5d9, c826, c25c
lji[ 333]:= 4520, 4697, c76e, c5d9, c826, c25c
lji[ 334]:= 4960, 49b9, c76e, c5d9, c826, c25c
lji[ 335]:= 3c34, 4782, c76e, c5d9, c826, c25c
lji[ 336]:= 465a, 4983, c76e, c5d9, c826, c25c
lji[ 337]:= c537, c706, c76e, c5d9, c826, c25c
lji[ 338]:= c358, c9ef, c76e, c5d9, c826, c25c
lji[ 339]:= 466d, 48db, c76e, c5d9, c826, c25c
lji[ 340]:= bb94, c18e, c76e, c5d9, c826, c25c
lji[ 341]:= 4bbd, 4b74, c76e, c5d9, c826, c25c
lji[ 342]:= 441e, 44aa, c76e, c5d9, c826, c25c
lji[ 343]:= c92a, c5b9, c76e, c5d9, c826, c25c
lji[ 344]:= 443e, b964, c76e, c5d9, c826, c25c
lji[ 345]:= 43b1, 4398, c76e, c5d9, c826, c25c
lji[ 346]:= c84a, c552, c76e, c5d9, c826, c25c
lji[ 347]:= 4770, 439f, c76e, c5d9, c826, c25c
lji[ 348]:= c56f, 3cce, c76e, c5d9, c826, c25c
lji[ 349]:= c09b, bb80, c76e, c5d9, c826, c25c
lji[ 350]:= 40e7, be02, c76e, c5d9, c826, c25c
lji[ 351]:= 4995, 42d8, c76e, c5d9, c826, c25c
lji[ 352]:= 4972, 48b4, c76e, c5d9, c826, c25c
