lij[ 322]:= c14b, c291, 42ba, c43e, 443e, c43e
lij[ 323]:= c07e, 410e, c0c3, c43e, 443e, c43e
lij[ 324]:= bef7, 41d3, c032, c43e, 443e, c43e
lij[ 325]:= b7a4, bdf6, 34d1, c43e, 443e, c43e
lij[ 326]:= 0000, 3d98, 0000, c43e, 443e, c43e
lij[ 327]:= 387b, 3c8d, 3cb7, c43e, 443e, c43e
lij[ 328]:= b96f, 407a, bae1, c43e, 443e, c43e
lij[ 329]:= 1800, a920, ad11, c43e, 443e, c43e
lij[ 330]:= 4154, c275, c2d6, c43e, 443e, c43e
lij[ 331]:= bf44, 391f, babb, c43e, 443e, c43e
lij[ 332]:= 38e1, bff5, ba89, c43e, 443e, c43e
lij[ 333]:= 30aa, bdab, b3a9, c43e, 443e, c43e
lij[ 334]:= b99c, c456, 39c0, c43e, 443e, c43e
lij[ 335]:= b46b, b879, 3009, c43e, 443e, c43e
lij[ 336]:= 8000, c0a2, 0000, c43e, 443e, c43e
lij[ 337]:= bfcb, 42b6, c070, c43e, 443e, c43e
lij[ 338]:= 3c87, c026, be4e, c43e, 443e, c43e
lij[ 339]:= 40b3, c14d, c1c4, c43e, 443e, c43e
lij[ 340]:= 3c4a, c01a, bd3e, c43e, 443e, c43e
lij[ 341]:= 3f91, c3f0, c009, c43e, 443e, c43e
lij[ 342]:= bf97, 42f3, c026, c43e, 443e, c43e
lij[ 343]:= 39c7, c08e, bb22, c43e, 443e, c43e
lij[ 344]:= b8fc, 3ae1, bfab, c43e, 443e, c43e
lij[ 345]:= ab40, bcef, 2e21, c43e, 443e, c43e
lij[ 346]:= bc15, 3e8e, bedf, c43e, 443e, c43e
lij[ 347]:= b67a, 3c2b, b8b3, c43e, 443e, c43e
lij[ 348]:= bf7d, 4115, c0ee, c43e, 443e, c43e
lij[ 349]:= 347b, b4cd, c2be, c43e, 443e, c43e
lij[ 350]:= 3832, 3480, 3c8f, c43e, 443e, c43e
lij[ 351]:= 4342, c3e9, c3d5, c43e, 443e, c43e
lij[ 352]:= 3c76, c05b, bdff, c43e, 443e, c43e
lij[ 353]:= 2d81, afa2, bcaa, c43e, 443e, c43e
lij[ 354]:= 35c8, b704, c0a3, c43e, 443e, c43e
lij[ 355]:= 3b42, 3b84, 4429, c43e, 443e, c43e
lij[ 356]:= bf07, c56c, 3f1d, c43e, 443e, c43e
lij[ 357]:= 2b20, ad01, be99, c43e, 443e, c43e
lij[ 358]:= 31a4, 3133, 4185, c43e, 443e, c43e
lij[ 359]:= 2fa2, 31c4, 3e65, c43e, 443e, c43e
lij[ 360]:= 1f00, ad21, b11b, c43e, 443e, c43e
lij[ 361]:= bae6, bb07, 44a5, c43e, 443e, c43e
lij[ 362]:= 2080, 3072, 2fa2, c43e, 443e, c43e
lij[ 363]:= 3a0e, bb33, c11d, c43e, 443e, c43e
lij[ 364]:= 0000, 0000, 461e, c43e, 443e, c43e
lij[ 365]:= 3163, b307, be1b, c43e, 443e, c43e
lij[ 366]:= c00c, c0a2, 42be, c43e, 443e, c43e
lij[ 367]:= b6b1, 3805, be05, c43e, 443e, c43e
lij[ 368]:= ba41, 3d67, bcfc, c43e, 443e, c43e
lij[ 369]:= 2d01, 2c00, 3ffc, c43e, 443e, c43e
lij[ 370]:= 3b0c, 413d, 3c26, c43e, 443e, c43e
lij[ 371]:= c09b, 4132, c34c, c43e, 443e, c43e
lij[ 372]:= bef9, c415, 3f5b, c43e, 443e, c43e
lij[ 373]:= bba9, 3bfc, c3e9, c43e, 443e, c43e
lij[ 374]:= 317b, 3998, 3827, c43e, 443e, c43e
lij[ 375]:= 40c1, c050, c185, c43e, 443e, c43e
lij[ 376]:= 3b49, c2e7, bb38, c43e, 443e, c43e
lij[ 377]:= c120, c08f, 4001, c43e, 443e, c43e
lij[ 378]:= ac30, b827, 3426, c43e, 443e, c43e
lij[ 379]:= 3cbb, 3cdf, 4460, c43e, 443e, c43e
lij[ 380]:= 34a0, b8d4, b021, c43e, 443e, c43e
lij[ 381]:= 0000, 3d32, 0000, c43e, 443e, c43e
lij[ 382]:= c044, c08f, 4241, c43e, 443e, c43e
lij[ 383]:= 3dad, c7a0, bdad, c43e, 443e, c43e
lij[ 384]:= aba1, ace1, 3f15, c43e, 443e, c43e
lij[ 385]:= 3a09, 3c0a, 3ec8, c43e, 443e, c43e
lij[ 386]:= 3c75, bff7, bd79, c43e, 443e, c43e
lij[ 387]:= 3aa6, c01e, bc79, c43e, 443e, c43e
lij[ 388]:= b962, 3644, ba72, c43e, 443e, c43e
lij[ 389]:= bd22, 3e75, c0f0, c43e, 443e, c43e
lij[ 390]:= b893, 38c7, c1c7, c43e, 443e, c43e
lij[ 391]:= 2900, 307a, 38a4, c43e, 443e, c43e
lij[ 392]:= c451, c518, 44e0, c43e, 443e, c43e
lij[ 393]:= 3a56, ba2e, c3d5, c43e, 443e, c43e
lij[ 394]:= ad61, 2f72, be90, c43e, 443e, c43e
lij[ 395]:= 39aa, b9c0, c4e0, c43e, 443e, c43e
lij[ 396]:= 41b3, 434c, 42de, c43e, 443e, c43e
lij[ 397]:= 2000, b143, a8e0, c43e, 443e, c43e
lij[ 398]:= b65d, 40cb, b7ad, c43e, 443e, c43e
lij[ 399]:= b9c0, 40bf, bb03, c43e, 443e, c43e
lij[ 400]:= 35b7, b561, c2a4, c43e, 443e, c43e
lij[ 401]:= 36ef, bbd6, bc14, c43e, 443e, c43e
lij[ 402]:= 3b53, 3d9a, 3ed8, c43e, 443e, c43e
lij[ 403]:= c223, c257, 446a, c43e, 443e, c43e
lij[ 404]:= b91d, b8dd, 4108, c43e, 443e, c43e
lij[ 405]:= c17a, bb0c, 3a5d, c43e, 443e, c43e
lij[ 406]:= b559, 36b5, c063, c43e, 443e, c43e
lij[ 407]:= bcb7, c0c9, 3dff, c43e, 443e, c43e
lij[ 408]:= 33a9, 3276, 3276, c43e, 443e, c43e
lij[ 409]:= 382c, c238, b863, c43e, 443e, c43e
lij[ 410]:= 8000, 4137, 8000, c43e, 443e, c43e
lij[ 411]:= baf4, 3b03, c4f2, c43e, 443e, c43e
