lji[ 130]:= 46be, 4488, c7ac, c62c, c817, c1cd
lji[ 131]:= 4aef, 4ad6, c7ac, c62c, c817, c1cd
lji[ 132]:= 3f74, a8c0, c7ac, c62c, c817, c1cd
lji[ 133]:= 4282, 40e9, c7ac, c62c, c817, c1cd
lji[ 134]:= c846, c446, c7ac, c62c, c817, c1cd
lji[ 135]:= 45a5, 467d, c7ac, c62c, c817, c1cd
lji[ 136]:= 4b68, 4a37, c7ac, c62c, c817, c1cd
lji[ 137]:= 4933, 4a49, c7ac, c62c, c817, c1cd
lji[ 138]:= c89b, c63e, c7ac, c62c, c817, c1cd
lji[ 139]:= 47fb, 4656, c7ac, c62c, c817, c1cd
lji[ 140]:= c2e2, c1a5, c7ac, c62c, c817, c1cd
lji[ 141]:= 441d, c4d2, c7ac, c62c, c817, c1cd
lji[ 142]:= 41c8, 44c9, c7ac, c62c, c817, c1cd
lji[ 143]:= 4ab5, 49ee, c7ac, c62c, c817, c1cd
lji[ 144]:= c4f6, c4d1, c7ac, c62c, c817, c1cd
lji[ 145]:= ca17, c999, c7ac, c62c, c817, c1cd
lji[ 146]:= 4a40, 48c9, c7ac, c62c, c817, c1cd
lji[ 147]:= 4a1a, 430e, c7ac, c62c, c817, c1cd
lji[ 148]:= c668, c632, c7ac, c62c, c817, c1cd
lji[ 149]:= c665, c45a, c7ac, c62c, c817, c1cd
lji[ 150]:= 3989, 377b, c7ac, c62c, c817, c1cd
lji[ 151]:= 4165, 40f1, c7ac, c62c, c817, c1cd
lji[ 152]:= c324, c3e9, c7ac, c62c, c817, c1cd
lji[ 153]:= c29c, c29f, c7ac, c62c, c817, c1cd
lji[ 154]:= 4559, 44b6, c7ac, c62c, c817, c1cd
lji[ 155]:= 46d2, 46a2, c7ac, c62c, c817, c1cd
lji[ 156]:= 4c24, 4ae8, c7ac, c62c, c817, c1cd
lji[ 157]:= c5e9, c6cd, c7ac, c62c, c817, c1cd
lji[ 158]:= 394a, 4470, c7ac, c62c, c817, c1cd
lji[ 159]:= 46f9, 4715, c7ac, c62c, c817, c1cd
lji[ 160]:= 494a, 4d51, c7ac, c62c, c817, c1cd
lji[ 161]:= c02b, 424a, c7ac, c62c, c817, c1cd
lji[ 162]:= 4b0f, 4a8a, c7ac, c62c, c817, c1cd
lji[ 163]:= bfe6, 0000, c7ac, c62c, c817, c1cd
lji[ 164]:= 4961, 48b7, c7ac, c62c, c817, c1cd
lji[ 165]:= 46d6, 4929, c7ac, c62c, c817, c1cd
lji[ 166]:= 47a2, 4112, c7ac, c62c, c817, c1cd
lji[ 167]:= 4897, 46a4, c7ac, c62c, c817, c1cd
lji[ 168]:= 4b2a, 4bce, c7ac, c62c, c817, c1cd
lji[ 169]:= c4f4, 2680, c7ac, c62c, c817, c1cd
lji[ 170]:= 4817, 49f2, c7ac, c62c, c817, c1cd
lji[ 171]:= 48d1, 4890, c7ac, c62c, c817, c1cd
lji[ 172]:= c46b, c4c1, c7ac, c62c, c817, c1cd
lji[ 173]:= c6ec, c82f, c7ac, c62c, c817, c1cd
lji[ 174]:= c806, c693, c7ac, c62c, c817, c1cd
lji[ 175]:= 3a90, 4436, c7ac, c62c, c817, c1cd
lji[ 176]:= 453a, 4096, c7ac, c62c, c817, c1cd
lji[ 177]:= bf23, bfef, c7ac, c62c, c817, c1cd
lji[ 178]:= bdb4, c0ba, c7ac, c62c, c817, c1cd
lji[ 179]:= 44b1, 443c, c7ac, c62c, c817, c1cd
lji[ 180]:= c75b, c7c6, c7ac, c62c, c817, c1cd
lji[ 181]:= 487e, 44d3, c7ac, c62c, c817, c1cd
lji[ 182]:= 4ab2, 49b4, c7ac, c62c, c817, c1cd
lji[ 183]:= c91a, c8cb, c7ac, c62c, c817, c1cd
lji[ 184]:= 46e0, 4926, c7ac, c62c, c817, c1cd
lji[ 185]:= b060, c022, c7ac, c62c, c817, c1cd
lji[ 186]:= c084, c498, c7ac, c62c, c817, c1cd
lji[ 187]:= 4a48, 4696, c7ac, c62c, c817, c1cd
lji[ 188]:= 4924, 4bc2, c7ac, c62c, c817, c1cd
lji[ 189]:= 4283, 48b8, c7ac, c62c, c817, c1cd
lji[ 190]:= 4858, 45d2, c7ac, c62c, c817, c1cd
lji[ 191]:= 4518, 48cf, c7ac, c62c, c817, c1cd
lji[ 192]:= c0ec, 3ceb, c7ac, c62c, c817, c1cd
lji[ 193]:= be98, c296, c7ac, c62c, c817, c1cd
lji[ 194]:= c6e2, c5e0, c7ac, c62c, c817, c1cd
lji[ 195]:= 43f2, 470d, c7ac, c62c, c817, c1cd
lji[ 196]:= 4c8f, 4c9e, c7ac, c62c, c817, c1cd
lji[ 197]:= 4328, 42bd, c7ac, c62c, c817, c1cd
lji[ 198]:= c8dd, c8f9, c7ac, c62c, c817, c1cd
lji[ 199]:= c1ad, c3a8, c7ac, c62c, c817, c1cd
lji[ 200]:= 4c5f, 4bd7, c7ac, c62c, c817, c1cd
lji[ 201]:= 3b7c, ba42, c7ac, c62c, c817, c1cd
lji[ 202]:= ca0c, c8bb, c7ac, c62c, c817, c1cd
lji[ 203]:= 483c, 468a, c7ac, c62c, c817, c1cd
lji[ 204]:= b950, 3823, c7ac, c62c, c817, c1cd
lji[ 205]:= c740, c97b, c7ac, c62c, c817, c1cd
lji[ 206]:= 3f3c, 4544, c7ac, c62c, c817, c1cd
lji[ 207]:= c1d2, c3f1, c7ac, c62c, c817, c1cd
lji[ 208]:= 3d8d, 424a, c7ac, c62c, c817, c1cd
lji[ 209]:= cb67, ca93, c7ac, c62c, c817, c1cd
lji[ 210]:= ccf6, ccfc, c7ac, c62c, c817, c1cd
lji[ 211]:= 48d0, 4972, c7ac, c62c, c817, c1cd
lji[ 212]:= 48b4, 4923, c7ac, c62c, c817, c1cd
lji[ 213]:= c96f, c928, c7ac, c62c, c817, c1cd
lji[ 214]:= 47dd, 4709, c7ac, c62c, c817, c1cd
lji[ 215]:= bcb8, bd2f, c7ac, c62c, c817, c1cd
lji[ 216]:= 477a, 464a, c7ac, c62c, c817, c1cd
lji[ 217]:= c646, c82d, c7ac, c62c, c817, c1cd
lji[ 218]:= ca0a, ca0e, c7ac, c62c, c817, c1cd
lji[ 219]:= 49b1, 493d, c7ac, c62c, c817, c1cd
lji[ 220]:= 4a00, 4aca, c7ac, c62c, c817, c1cd
lji[ 221]:= c993, c82e, c7ac, c62c, c817, c1cd
lji[ 222]:= 4a4c, 4c84, c7ac, c62c, c817, c1cd
lji[ 223]:= cc57, cb51, c7ac, c62c, c817, c1cd
lji[ 224]:= 3ee1, 442c, c7ac, c62c, c817, c1cd
lji[ 225]:= 44c5, 45b3, c7ac, c62c, c817, c1cd
lji[ 226]:= c80a, c997, c7ac, c62c, c817, c1cd
lji[ 227]:= 3e5e, 3b50, c7ac, c62c, c817, c1cd
lji[ 228]:= 47e6, 41a4, c7ac, c62c, c817, c1cd
lji[ 229]:= 489e, 4644, c7ac, c62c, c817, c1cd
lji[ 230]:= c669, c5ec, c7ac, c62c, c817, c1cd
lji[ 231]:= caae, ca65, c7ac, c62c, c817, c1cd
lji[ 232]:= 466d, 48b0, c7ac, c62c, c817, c1cd
lji[ 233]:= 40d4, 45b0, c7ac, c62c, c817, c1cd
lji[ 234]:= bf9b, b149, c7ac, c62c, c817, c1cd
lji[ 235]:= 4598, 454b, c7ac, c62c, c817, c1cd
lji[ 236]:= 4cad, 4a65, c7ac, c62c, c817, c1cd
lji[ 237]:= 496b, 49d3, c7ac, c62c, c817, c1cd
lji[ 238]:= 4a6d, 4c03, c7ac, c62c, c817, c1cd
lji[ 239]:= 4862, 4868, c7ac, c62c, c817, c1cd
lji[ 240]:= 3c56, a8c0, c7ac, c62c, c817, c1cd
lji[ 241]:= ccac, ca2c, c7ac, c62c, c817, c1cd
lji[ 242]:= c5c0, b911, c7ac, c62c, c817, c1cd
lji[ 243]:= 4a23, 4939, c7ac, c62c, c817, c1cd
lji[ 244]:= c58d, c5e1, c7ac, c62c, c817, c1cd
lji[ 245]:= 4567, 445e, c7ac, c62c, c817, c1cd
lji[ 246]:= 47ab, 4396, c7ac, c62c, c817, c1cd
lji[ 247]:= 46c3, 4613, c7ac, c62c, c817, c1cd
lji[ 248]:= 442b, 2d60, c7ac, c62c, c817, c1cd
lji[ 249]:= c9e9, ca35, c7ac, c62c, c817, c1cd
lji[ 250]:= 34c1, 3c8e, c7ac, c62c, c817, c1cd
lji[ 251]:= c0e1, c4d0, c7ac, c62c, c817, c1cd
lji[ 252]:= bf4c, b556, c7ac, c62c, c817, c1cd
lji[ 253]:= 4a79, 49aa, c7ac, c62c, c817, c1cd
lji[ 254]:= 46a6, 4910, c7ac, c62c, c817, c1cd
lji[ 255]:= be38, c432, c7ac, c62c, c817, c1cd
lji[ 256]:= 45c4, 4939, c7ac, c62c, c817, c1cd
lji[ 257]:= c768, c7d3, c7ac, c62c, c817, c1cd
lji[ 258]:= c84d, c6c3, c7ac, c62c, c817, c1cd
lji[ 259]:= c7b9, c966, c7ac, c62c, c817, c1cd
lji[ 260]:= 484e, 48e8, c7ac, c62c, c817, c1cd
lji[ 261]:= c734, c683, c7ac, c62c, c817, c1cd
lji[ 262]:= ca9d, c8bf, c7ac, c62c, c817, c1cd
