lij[ 140]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 141]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 142]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 143]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 144]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 145]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 146]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 147]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 148]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 149]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 150]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 151]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 152]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 153]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 154]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 155]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 156]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 157]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 158]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 159]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 160]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 161]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 162]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 163]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 164]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 165]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 166]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 167]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
