lij[ 143]:= 47a0, c7a0, c7a0, 416b, c16b, c35b
lij[ 144]:= 4192, 43b5, 4164, 416b, c16b, c35b
lij[ 145]:= be3c, c4fb, 3e21, 416b, c16b, c35b
lij[ 146]:= 47a0, 45d4, 45d4, 416b, c16b, c35b
lij[ 147]:= c59b, 456c, c518, 416b, c16b, c35b
lij[ 148]:= b5c0, 3f1d, b416, 416b, c16b, c35b
lij[ 149]:= 43bc, c4c1, c406, 416b, c16b, c35b
lij[ 150]:= 4197, c195, c738, 416b, c16b, c35b
lij[ 151]:= 44ba, c492, c63d, 416b, c16b, c35b
lij[ 152]:= c070, 4060, c58b, 416b, c16b, c35b
lij[ 153]:= 47a0, c7a0, c7a0, 416b, c16b, c35b
lij[ 154]:= 3dba, 3daf, 3d07, 416b, c16b, c35b
lij[ 155]:= 3823, 45c0, 3827, 416b, c16b, c35b
lij[ 156]:= 3fd4, 3fd4, 47a0, 416b, c16b, c35b
lij[ 157]:= 2e61, ae61, c5d4, 416b, c16b, c35b
lij[ 158]:= 4498, be71, be53, 416b, c16b, c35b
lij[ 159]:= c4d0, 4244, c1f3, 416b, c16b, c35b
lij[ 160]:= c4ac, 40dd, c0fe, 416b, c16b, c35b
lij[ 161]:= c2de, c21a, 4429, 416b, c16b, c35b
lij[ 162]:= b477, 3477, c6b5, 416b, c16b, c35b
lij[ 163]:= c7a0, c28a, 428a, 416b, c16b, c35b
lij[ 164]:= c486, 465f, c4a5, 416b, c16b, c35b
lij[ 165]:= c498, bfa5, 3f74, 416b, c16b, c35b
lij[ 166]:= c6ee, 46ee, c7a0, 416b, c16b, c35b
lij[ 167]:= 461e, c61e, c7a0, 416b, c16b, c35b
lij[ 168]:= 47a0, 47a0, 47a0, 416b, c16b, c35b
lij[ 169]:= c3e2, 43d5, c6ee, 416b, c16b, c35b
lij[ 170]:= c50e, c518, 44e0, 416b, c16b, c35b
lij[ 171]:= c603, c603, 47a0, 416b, c16b, c35b
lij[ 172]:= c518, 413b, c14f, 416b, c16b, c35b
lij[ 173]:= 465f, c603, c6b5, 416b, c16b, c35b
lij[ 174]:= c7a0, c7a0, 47a0, 416b, c16b, c35b
lij[ 175]:= a900, 28c0, c206, 416b, c16b, c35b
lij[ 176]:= 3edf, c7a0, bedf, 416b, c16b, c35b
lij[ 177]:= c7a0, c7a0, 47a0, 416b, c16b, c35b
lij[ 178]:= 2e61, 47a0, 2e61, 416b, c16b, c35b
lij[ 179]:= bc1f, 3971, be56, 416b, c16b, c35b
lij[ 180]:= c1e8, c65f, 41f3, 416b, c16b, c35b
