lji[ 327]:= c975, c9ce, c80c, c8f2, c595, c498
lji[ 328]:= 4bde, 4b52, c80c, c8f2, c595, c498
lji[ 329]:= bf7a, 41fd, c80c, c8f2, c595, c498
lji[ 330]:= cad6, c93f, c80c, c8f2, c595, c498
lji[ 331]:= c520, c6fe, c80c, c8f2, c595, c498
lji[ 332]:= 45be, 46e2, c80c, c8f2, c595, c498
lji[ 333]:= 4952, 4849, c80c, c8f2, c595, c498
lji[ 334]:= 49be, 491d, c80c, c8f2, c595, c498
lji[ 335]:= 4770, 4470, c80c, c8f2, c595, c498
lji[ 336]:= 45e3, 47da, c80c, c8f2, c595, c498
lji[ 337]:= b790, ca28, c80c, c8f2, c595, c498
lji[ 338]:= c82a, cb70, c80c, c8f2, c595, c498
lji[ 339]:= 49e2, 497a, c80c, c8f2, c595, c498
lji[ 340]:= c4f8, c44a, c80c, c8f2, c595, c498
lji[ 341]:= 49c1, 4c04, c80c, c8f2, c595, c498
lji[ 342]:= 40ed, 44c6, c80c, c8f2, c595, c498
lji[ 343]:= c83b, c366, c80c, c8f2, c595, c498
lji[ 344]:= 40a6, 4559, c80c, c8f2, c595, c498
lji[ 345]:= 459a, 44ca, c80c, c8f2, c595, c498
lji[ 346]:= c4bf, c3dd, c80c, c8f2, c595, c498
lji[ 347]:= 4504, 4887, c80c, c8f2, c595, c498
lji[ 348]:= c045, 3728, c80c, c8f2, c595, c498
lji[ 349]:= c140, 30ca, c80c, c8f2, c595, c498
lji[ 350]:= 3f4d, c013, c80c, c8f2, c595, c498
lji[ 351]:= 4995, bc58, c80c, c8f2, c595, c498
lji[ 352]:= 4985, 4ad9, c80c, c8f2, c595, c498
lji[ 353]:= bc99, bb8e, c80c, c8f2, c595, c498
lji[ 354]:= c2bc, 3e17, c80c, c8f2, c595, c498
lji[ 355]:= 45c6, 4776, c80c, c8f2, c595, c498
lji[ 356]:= 4b1e, 4984, c80c, c8f2, c595, c498
lji[ 357]:= 3d87, 3f10, c80c, c8f2, c595, c498
lji[ 358]:= c429, c447, c80c, c8f2, c595, c498
lji[ 359]:= c4e9, c321, c80c, c8f2, c595, c498
lji[ 360]:= 3c34, 42d8, c80c, c8f2, c595, c498
lji[ 361]:= c863, ca41, c80c, c8f2, c595, c498
lji[ 362]:= c3f4, c202, c80c, c8f2, c595, c498
lji[ 363]:= c170, c197, c80c, c8f2, c595, c498
lji[ 364]:= 4522, b91f, c80c, c8f2, c595, c498
